ID,N_VICTIMAS,FECHA,HORA,PARTICIPANTES,VICTIMA,ACUSADO
2020-0033,1,2020-07-19,06:25:00,AUTO-OBJETO FIJO,1,3
2020-0034,1,2020-08-02,03:20:00,PEATON-AUTO,2,0
2020-0035,1,2020-08-04,05:30:00,MOTO-PASAJEROS,0,1
2020-0036,1,2020-08-07,18:40:00,PEATON-MOTO,2,5
2020-0037,1,2020-08-29,04:30:00,PEATON-AUTO,2,0
2020-0038,2,2020-08-30,04:00:00,AUTO-AUTO,1,0
2020-0039,1,2020-09-01,19:17:42,PEATON-CARGAS,2,4
2020-0040,1,2020-09-12,03:30:00,AUTO-OBJETO FIJO,1,3
2020-0041,1,2020-09-28,01:45:00,MOTO-PASAJEROS,0,1
2020-0042,1,2020-09-29,17:10:00,PEATON-PASAJEROS,2,1
2020-0043,1,2020-09-30,17:20:00,PEATON-PASAJEROS,2,1
2020-0044,1,2020-10-05,00:20:00,AUTO-AUTO,1,0
2020-0045,1,2020-10-19,03:00:00,AUTO-CARGAS,1,4
2020-0046,1,2020-10-27,21:00:00,MOTO-MOTO,0,5
2020-0047,1,2020-10-27,14:00:00,PEATON-CARGAS,2,4
2020-0048,1,2020-10-29,20:20:00,MOTO-OBJETO FIJO,0,3
2020-0049,1,2020-10-30,20:00:00,PEATON-AUTO,2,0
2020-0050,1,2020-11-01,22:00:00,PEATON-MOTO,2,5
2020-0051,1,2020-11-05,00:40:00,MOTO-AUTO,0,0
2020-0052,1,2020-11-07,06:50:00,BICICLETA-CARGAS,5,4
2020-0053,1,2020-11-09,03:30:00,AUTO-AUTO,1,0
2020-0054,1,2020-11-19,09:00:00,BICICLETA-AUTO,5,0
2020-0055,1,2020-11-19,12:30:00,PEATON-CARGAS,2,4
2020-0056,1,2020-11-21,13:00:00,MOTO-CARGAS,0,4
2020-0057,1,2020-11-23,07:45:00,PEATON-AUTO,2,0
2020-0058,1,2020-11-24,16:00:00,PEATON-AUTO,2,0
2020-0059,1,2020-12-01,06:35:00,PEATON-PASAJEROS,2,1
2020-0060,1,2020-12-03,20:30:00,PEATON-MOTO,2,5
2020-0061,1,2020-12-03,14:40:00,MOTO-CARGAS,0,4
2020-0062,1,2020-12-04,17:19:00,BICICLETA-PASAJEROS,5,1
2020-0063,2,2020-12-05,07:10:00,PEATON_MOTO-MOTO,2_0,5
2020-0065,1,2020-12-05,16:00:00,MOTO-AUTO,0,0
2020-0066,1,2020-12-07,04:30:00,MOTO-OBJETO FIJO,0,3
2020-0067,1,2020-12-11,22:00:00,PEATON-PASAJEROS,2,1
2020-0068,1,2020-12-12,20:30:00,MOTO-AUTO,0,0
2020-0069,1,2020-12-15,05:20:00,MOTO-PASAJEROS,0,1
2020-0070,1,2020-12-17,15:35:00,PEATON-PASAJEROS,2,1
2020-0071,1,2020-12-17,23:00:00,PEATON-AUTO,2,0
2020-0072,1,2020-12-19,03:30:00,BICICLETA-AUTO,5,0
2020-0073,1,2020-12-20,07:40:00,MOTO-OBJETO FIJO,0,3
2020-0074,1,2020-12-20,21:00:00,AUTO-AUTO,1,0
2020-0075,1,2020-12-23,14:00:00,PEATON-PASAJEROS,2,1
2020-0076,1,2020-12-24,12:30:00,AUTO-PASAJEROS,1,1
2020-0077,2,2020-12-25,06:40:00,MOTO-AUTO,0,0
2020-0078,1,2020-12-25,05:50:00,BICICLETA-PASAJEROS,5,1
2020-0079,1,2020-12-27,04:15:00,MOTO-OBJETO FIJO,0,3
2021-0001,1,2021-01-06,18:00:00,MOTO-AUTO,0,0
2021-0002,1,2021-01-07,10:20:00,MOTO-CARGAS,0,4
2021-0003,1,2021-01-10,07:40:00,MOTO-OBJETO FIJO,0,3
2021-0004,1,2021-01-11,09:12:18,PEATON-CARGAS,2,4
2021-0005,1,2021-01-11,21:30:00,PEATON-AUTO,2,0
2021-0006,1,2021-01-12,21:00:00,MOTO-CARGAS,0,4
2021-0007,1,2021-01-18,10:00:00,MOTO-MOTO,0,5
2021-0008,1,2021-01-22,23:30:00,PEATON-PASAJEROS,2,1
2021-0009,1,2021-01-23,05:30:00,MOTO-OBJETO FIJO,0,3
2021-0010,1,2021-01-23,08:00:00,MOTO-AUTO,0,0
2021-0011,1,2021-01-27,01:04:26,PEATON-AUTO,2,0
2021-0012,1,2021-01-29,20:07:22,PEATON-AUTO,2,0
2021-0013,1,2021-01-31,06:10:00,MOTO-OBJETO FIJO,0,3
2021-0014,1,2021-02-02,00:50:00,PEATON-AUTO,2,0
2021-0015,1,2021-02-06,03:05:00,MOTO-OBJETO FIJO,0,3
2021-0016,1,2021-02-14,05:50:00,AUTO-OBJETO FIJO,1,3
2021-0017,1,2021-02-17,04:10:00,MOTO-PASAJEROS,0,1
2021-0018,1,2021-02-20,19:00:00,PEATON-AUTO,2,0
2021-0019,1,2021-02-21,01:20:00,MOTO-OBJETO FIJO,0,3
2021-0020,1,2021-02-21,15:00:00,PEATON-CARGAS,2,4
2021-0021,1,2021-02-26,05:30:00,MOTO-OBJETO FIJO,0,3
2021-0022,1,2021-02-28,12:00:00,PASAJEROS-SD,6,2
2021-0023,1,2021-03-01,09:20:00,MOTO-CARGAS,0,4
2021-0024,1,2021-03-03,16:30:00,BICICLETA-CARGAS,5,4
2021-0025,1,2021-03-11,03:45:00,MOTO-OTRO,0,7
2021-0026,1,2021-03-15,02:35:00,MOTO-OBJETO FIJO,0,3
2021-0027,1,2021-03-16,15:30:00,MOTO-CARGAS,0,4
2021-0028,1,2021-03-29,17:20:00,PEATON-PASAJEROS,2,1
2021-0029,1,2021-03-31,18:05:00,AUTO-AUTO,1,0
2021-0030,1,2021-04-03,18:30:00,PEATON-PASAJEROS,2,1
2021-0031,1,2021-04-07,10:29:00,PEATON-CARGAS,2,4
2021-0032,1,2021-04-10,19:55:00,PEATON-MOTO,2,5
2021-0033,1,2021-04-14,17:50:00,AUTO-OBJETO FIJO,1,3
2021-0034,1,2021-04-19,14:40:00,MOTO-CARGAS,0,4
2021-0035,1,2021-05-03,09:20:00,MOTO-CARGAS,0,4
2021-0036,1,2021-05-09,06:00:00,MOTO-OBJETO FIJO,0,3
2021-0037,1,2021-05-11,07:10:00,PEATON-PASAJEROS,2,1
2021-0038,1,2021-05-14,11:40:00,MOTO-CARGAS,0,4
2021-0039,1,2021-05-15,12:09:00,BICICLETA-AUTO,5,0
2021-0040,1,2021-05-20,05:50:00,MOTO-AUTO,0,0
2021-0041,1,2021-05-20,08:30:00,PEATON-PASAJEROS,2,1
2021-0042,1,2021-05-21,05:00:00,PEATON-PASAJEROS,2,1
2021-0043,1,2021-05-22,18:26:00,PEATON-AUTO,2,0
2021-0044,1,2021-05-25,02:00:00,MOTO-OBJETO FIJO,0,3
2021-0045,1,2021-05-26,17:24:00,MULTIPLE,0,6
2021-0046,1,2021-05-31,02:00:00,AUTO-OBJETO FIJO,1,3
2021-0047,1,2021-06-02,16:00:00,MOTO-AUTO,0,0
2021-0048,1,2021-06-03,09:58:00,BICICLETA-AUTO,5,0
2021-0049,1,2021-06-03,20:30:00,AUTO-AUTO,1,0
2021-0050,1,2021-06-10,13:30:00,MOTO-PASAJEROS,0,1
2021-0051,1,2021-06-15,19:20:00,PEATON-CARGAS,2,4
2021-0052,1,2021-06-20,05:40:00,MOTO-OBJETO FIJO,0,3
2021-0053,1,2021-06-20,12:00:00,PEATON-BICICLETA,2,8
2021-0054,1,2021-06-22,14:44:00,MOTO-CARGAS,0,4
2021-0055,1,2021-06-29,12:20:00,MOTO-CARGAS,0,4
2021-0056,1,2021-07-09,23:25:00,BICICLETA-AUTO,5,0
2021-0057,1,2021-07-10,23:30:00,AUTO-OBJETO FIJO,1,3
2021-0058,1,2021-07-21,00:40:00,PEATON-AUTO,2,0
2021-0059,1,2021-07-22,01:20:00,AUTO-OBJETO FIJO,1,3
2021-0060,1,2021-07-22,12:30:00,PEATON-PASAJEROS,2,1
2021-0061,1,2021-07-24,09:15:00,PEATON-CARGAS,2,4
2021-0062,1,2021-07-27,07:16:00,AUTO-CARGAS,1,4
2021-0063,1,2021-08-02,04:40:00,AUTO-AUTO,1,0
2021-0064,1,2021-08-02,20:00:00,PEATON-CARGAS,2,4
2021-0065,1,2021-08-06,08:30:00,PEATON-PASAJEROS,2,1
2021-0066,1,2021-08-06,20:00:00,PEATON-PASAJEROS,2,1
2021-0067,1,2021-08-08,09:29:00,MOTO-OBJETO FIJO,0,3
2021-0068,1,2021-08-15,06:10:00,MOTO-OBJETO FIJO,0,3
2021-0069,1,2021-08-20,17:15:00,PEATON-AUTO,2,0
2021-0070,1,2021-08-28,08:30:00,MOTO-CARGAS,0,4
2021-0071,1,2021-08-31,16:00:00,PEATON-MOTO,2,5
2021-0072,1,2021-09-01,19:10:00,PEATON-AUTO,2,0
2021-0073,1,2021-09-18,12:20:00,BICICLETA-AUTO,5,0
2021-0074,1,2021-09-20,15:00:00,MULTIPLE,0,6
2021-0075,1,2021-09-21,14:30:00,PEATON-CARGAS,2,4
2021-0076,1,2021-10-16,06:15:00,MOTO-OBJETO FIJO,0,3
2021-0077,1,2021-10-18,07:20:00,MOTO-CARGAS,0,4
2021-0078,1,2021-10-23,06:35:00,MOTO-PASAJEROS,0,1
2021-0079,1,2021-10-25,03:30:00,PEATON-AUTO,2,0
2021-0080,1,2021-10-28,16:16:00,MOTO-AUTO,0,0
2021-0081,1,2021-11-02,13:35:00,MOTO-CARGAS,0,4
2021-0082,1,2021-11-06,04:39:00,MOTO-AUTO,0,0
2021-0083,1,2021-11-09,00:35:00,MOTO-AUTO,0,0
2021-0084,1,2021-11-11,03:00:00,AUTO-OBJETO FIJO,1,3
2021-0085,1,2021-11-20,18:30:00,MOTO-OBJETO FIJO,0,3
2021-0086,1,2021-11-25,10:10:00,PEATON-PASAJEROS,2,1
2021-0087,1,2021-11-27,11:22:00,PEATON-BICICLETA,2,8
2021-0088,1,2021-12-01,15:40:00,MOTO-AUTO,0,0
2021-0089,1,2021-12-02,01:10:00,MOTO-AUTO,0,0
2021-0090,1,2021-12-10,11:45:00,PEATON-PASAJEROS,2,1
2021-0091,1,2021-12-11,23:00:00,MOTO-AUTO,0,0
2021-0092,1,2021-12-12,06:20:00,PEATON-AUTO,2,0
2021-0093,1,2021-12-13,17:10:00,MOTO-AUTO,0,0
2021-0094,1,2021-12-20,01:10:00,MOTO-AUTO,0,0
2021-0095,1,2021-12-30,00:43:00,MOTO-CARGAS,0,4
2021-0096,1,2021-12-15,10:30:00,AUTO-CARGAS,1,4
2021-0097,1,2021-11-18,06:10:00,BICICLETA-AUTO,5,0
